date,home_team,away_team,home_score,away_score,tournament,neutral_venue
2022-06-02,Spain,Portugal,1,1,UEFA Nations League,False
2022-06-02,Serbia,Norway,0,1,UEFA Nations League,False
2022-06-02,Czech Republic,Switzerland,2,1,UEFA Nations League,False
2022-06-02,Slovenia,Sweden,0,2,UEFA Nations League,False
2022-06-03,Belgium,Netherlands,1,4,UEFA Nations League,False
2022-06-03,France,Denmark,1,2,UEFA Nations League,False
2022-06-03,Croatia,Austria,0,3,UEFA Nations League,False
2022-06-04,Hungary,England,1,0,UEFA Nations League,False
2022-06-04,Italy,Germany,1,1,UEFA Nations League,False
2022-06-04,Turkey,Faroe Islands,4,0,UEFA Nations League,False
2022-06-05,Serbia,Slovenia,4,1,UEFA Nations League,False
2022-06-05,Portugal,Switzerland,4,0,UEFA Nations League,False
2022-06-05,Czech Republic,Spain,2,2,UEFA Nations League,False
2022-06-06,Croatia,France,1,1,UEFA Nations League,False
2022-06-06,Iceland,Albania,1,1,UEFA Nations League,False
2022-06-06,Austria,Denmark,1,2,UEFA Nations League,False
2022-06-07,Germany,England,1,1,UEFA Nations League,False
2022-06-07,Italy,Hungary,2,1,UEFA Nations League,False
2022-06-07,Lithuania,Turkey,0,6,UEFA Nations League,False
2022-06-08,Belgium,Poland,6,1,UEFA Nations League,False
2022-06-08,Wales,Netherlands,1,2,UEFA Nations League,False
2022-06-08,Scotland,Armenia,2,0,UEFA Nations League,False
2022-06-09,Sweden,Serbia,0,1,UEFA Nations League,False
2022-06-09,Switzerland,Spain,0,1,UEFA Nations League,False
2022-06-09,Portugal,Czech Republic,2,0,UEFA Nations League,False
2022-06-09,Norway,Slovenia,0,0,UEFA Nations League,False
2022-06-10,Denmark,Croatia,0,1,UEFA Nations League,False
2022-06-10,Austria,France,1,1,UEFA Nations League,False
2022-06-10,Albania,Israel,1,2,UEFA Nations League,False
2022-06-11,Rep. Of Ireland,Scotland,3,0,UEFA Nations League,False
2022-06-11,England,Italy,0,0,UEFA Nations League,False
2022-06-11,Wales,Belgium,1,1,UEFA Nations League,False
2022-06-11,Hungary,Germany,1,1,UEFA Nations League,False
2022-06-11,Luxembourg,Turkey,0,2,UEFA Nations League,False
2022-06-11,Netherlands,Poland,2,2,UEFA Nations League,False
2022-06-12,Spain,Czech Republic,2,0,UEFA Nations League,False
2022-06-12,Switzerland,Portugal,1,0,UEFA Nations League,False
2022-06-12,Slovenia,Serbia,2,2,UEFA Nations League,False
2022-06-13,France,Croatia,0,1,UEFA Nations League,False
2022-06-13,Denmark,Austria,2,0,UEFA Nations League,False
2022-06-14,Armenia,Scotland,1,4,UEFA Nations League,False
2022-06-14,England,Hungary,0,4,UEFA Nations League,False
2022-06-14,Poland,Belgium,0,1,UEFA Nations League,False
2022-06-14,Germany,Italy,5,2,UEFA Nations League,False
2022-06-14,Turkey,Lithuania,2,0,UEFA Nations League,False
2022-06-14,Netherlands,Wales,3,2,UEFA Nations League,False
2022-09-21,Scotland,Ukraine,3,0,UEFA Nations League,False
2022-09-22,Belgium,Wales,2,1,UEFA Nations League,False
2022-09-22,France,Austria,2,0,UEFA Nations League,False
2022-09-22,Croatia,Denmark,2,1,UEFA Nations League,False
2022-09-22,Poland,Netherlands,0,2,UEFA Nations League,False
2022-09-22,Turkey,Luxembourg,3,3,UEFA Nations League,False
2022-09-23,Germany,Hungary,0,1,UEFA Nations League,False
2022-09-23,Italy,England,1,0,UEFA Nations League,False
2022-09-24,Slovenia,Norway,2,1,UEFA Nations League,False
2022-09-24,Spain,Switzerland,1,2,UEFA Nations League,False
