zone,is_goal,is_saved,is_right_foot,end_y,end_z,player,team,match_id,competition_id,technique
2,1,0,1,42.3,0.3,Mehdi Taremi,Iran,3857271,43,Normal
3,1,0,1,37.8,1.6,Cristiano Ronaldo dos Santos Aveiro,Portugal,3857298,43,Normal
5,1,0,0,43.4,1.5,Gareth Frank Bale,Wales,3857282,43,Normal
0,0,1,1,38.3,0.0,Salem Mohammed Al Dawsari,Saudi Arabia,3857297,43,Normal
4,1,0,1,39.1,0.9,İlkay Gündoğan,Germany,3857284,43,Normal
2,0,1,1,42.9,0.4,Robert Lewandowski,Poland,3857265,43,Normal
0,0,1,0,38.0,0.2,Alphonso Davies,Canada,3857268,43,Normal
5,1,0,0,43.3,1.4,Lionel Andrés Messi Cuccittini,Argentina,3869321,43,Normal
3,0,1,1,37.2,1.2,Virgil van Dijk,Netherlands,3869321,43,Normal
1,1,0,0,38.7,0.2,Lionel Andrés Messi Cuccittini,Argentina,3869321,43,Normal
5,0,1,0,42.9,0.9,Steven Berghuis,Netherlands,3869321,43,Normal
3,1,0,1,36.6,1.5,Leandro Daniel Paredes,Argentina,3869321,43,Normal
5,1,0,0,43.7,1.1,Teun Koopmeiners,Netherlands,3869321,43,Normal
5,1,0,1,42.8,1.4,Gonzalo Ariel Montiel,Argentina,3869321,43,Normal
0,1,0,1,36.7,0.2,Wout Weghorst,Netherlands,3869321,43,Normal
0,0,0,1,35.4,0.5,Enzo Fernandez,Argentina,3869321,43,Normal
0,1,0,1,37.7,0.2,Luuk de Jong,Netherlands,3869321,43,Normal
3,1,0,1,36.4,1.6,Lautaro Javier Martínez,Argentina,3869321,43,Normal
2,1,0,0,41.8,0.2,Lionel Andrés Messi Cuccittini,Argentina,3869685,43,Normal
0,1,0,1,37.3,0.3,Kylian Mbappé Lottin,France,3869685,43,Normal
3,1,0,1,36.7,1.1,Kylian Mbappé Lottin,France,3869685,43,Normal
3,1,0,1,37.6,1.3,Kylian Mbappé Lottin,France,3869685,43,Normal
0,1,0,0,38.3,0.2,Lionel Andrés Messi Cuccittini,Argentina,3869685,43,Normal
3,0,1,1,38.2,0.9,Kingsley Coman,France,3869685,43,Normal
1,1,0,0,40.4,0.2,Paulo Bruno Exequiel Dybala,Argentina,3869685,43,Normal
0,0,0,1,35.6,0.2,Aurélien Djani Tchouaméni,France,3869685,43,Normal
0,1,0,1,37.6,0.2,Leandro Daniel Paredes,Argentina,3869685,43,Normal
4,1,0,1,39.3,1.6,Randal Kolo Muani,France,3869685,43,Normal
0,1,0,1,37.9,0.2,Gonzalo Ariel Montiel,Argentina,3869685,43,Normal
2,1,0,1,43.4,0.2,Ismaïla Sarr,Senegal,3857267,43,Normal
5,0,1,0,42.8,1.4,Lionel Andrés Messi Cuccittini,Argentina,3857264,43,Normal
8,1,0,0,42.3,2.3,Lionel Andrés Messi Cuccittini,Argentina,3869519,43,Normal
3,1,0,1,36.4,1.7,Harry Kane,England,3869354,43,Normal
7,0,0,1,38.7,4.2,Harry Kane,England,3869354,43,Normal
7,1,0,1,39.4,1.9,Nikola Vlašić,Croatia,3869420,43,Normal
5,0,1,1,41.9,1.0,Rodrygo Silva de Goes,Brazil,3869420,43,Normal
1,1,0,0,40.1,0.8,Lovro Majer,Croatia,3869420,43,Normal
0,1,0,1,36.5,0.7,Carlos Henrique Casimiro,Brazil,3869420,43,Normal
0,1,0,1,36.9,0.2,Luka Modrić,Croatia,3869420,43,Normal
0,1,0,1,38.5,0.2,Pedro Guilherme Abreu dos Santos,Brazil,3869420,43,Normal
0,1,0,1,36.5,0.2,Mislav Oršić,Croatia,3869420,43,Normal
0,0,0,1,35.9,0.2,Marcos Aoás Corrêa,Brazil,3869420,43,Normal
2,1,0,1,43.0,0.3,Abdelhamid Sabiri,Morocco,3869220,43,Normal
2,0,0,0,44.0,0.2,Pablo Sarabia García,Spain,3869220,43,Normal
4,1,0,0,40.0,1.3,Hakim Ziyech,Morocco,3869220,43,Normal
2,0,1,1,42.7,0.7,Carlos Soler Barragán,Spain,3869220,43,Normal
0,0,1,1,37.2,0.1,Badr Banoun,Morocco,3869220,43,Normal
0,0,1,1,37.3,0.5,Sergio Busquets i Burgos,Spain,3869220,43,Normal
1,1,0,1,40.1,0.2,Achraf Hakimi Mouh,Morocco,3869220,43,Normal
2,0,1,1,41.9,0.2,Takumi Minamino,Japan,3869219,43,Normal
3,1,0,1,36.8,1.3,Nikola Vlašić,Croatia,3869219,43,Normal
0,0,1,1,37.5,0.2,Kaoru Mitoma,Japan,3869219,43,Normal
4,1,0,1,39.9,1.7,Marcelo Brozović,Croatia,3869219,43,Normal
5,1,0,1,41.9,0.9,Takuma Asano,Japan,3869219,43,Normal
0,0,0,1,36.1,0.6,Marko Livaja,Croatia,3869219,43,Normal
0,0,1,1,37.5,0.2,Maya Yoshida,Japan,3869219,43,Normal
